OBJECTID,SEA_NAME,SEA_TYPE,IMPLEMENTATION
516,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
517,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
518,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
519,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
520,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
521,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
522,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
523,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
524,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
525,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
526,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
527,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
528,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
529,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
530,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
531,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
532,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
533,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
534,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
535,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
536,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
537,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
538,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
539,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
540,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
541,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
542,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
543,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
544,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
545,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
546,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
547,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
548,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
549,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
550,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
551,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
552,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
553,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
554,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
555,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
556,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
557,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
558,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
559,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
560,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
561,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
562,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
563,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
564,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
565,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
566,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
567,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
568,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
569,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
570,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
571,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
572,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
573,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
574,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
575,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
576,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
577,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
578,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
579,Malibu Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
580,Malibu Coastline,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
581,Malibu Coastline,Coastal Resource Area,SEA Ordinance does NOT Apply - Defer to Coastal Commission
582,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
583,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
584,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
585,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
586,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
587,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
588,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
589,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
590,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
591,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
592,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
593,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
594,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
595,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
596,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
597,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
598,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
599,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
600,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
601,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
602,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
603,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
604,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
605,Palos Verdes Peninsula and Coastline,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
606,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
607,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
608,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
609,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
610,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
611,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
612,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
613,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
614,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
615,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
616,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
617,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
618,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
619,Palos Verdes Peninsula and Coastline,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
620,Palos Verdes Peninsula and Coastline,Significant Ecological Area,SEA Ordinance Applies
621,Point Dume,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
622,Point Dume,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
623,Point Dume,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
624,Point Dume,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
625,Point Dume,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
626,Point Dume,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
627,Point Dume,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
628,Point Dume,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
629,Point Dume,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
630,Point Dume,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
631,Point Dume,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
642,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
643,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
644,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
645,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
646,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
647,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
648,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
649,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
650,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
651,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
652,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
653,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
654,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
655,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
656,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
657,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
658,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
659,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
660,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
661,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
662,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
663,Puente Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
676,Rio Hondo College Wildlife Sanctuary,Significant Ecological Area,SEA Ordinance Applies
677,San Andreas,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
678,San Andreas,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
679,San Andreas,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
680,San Andreas,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
681,San Andreas,Significant Ecological Area,SEA Ordinance Applies
682,San Andreas,Significant Ecological Area,SEA Ordinance Applies
683,San Andreas,Significant Ecological Area,SEA Ordinance Applies
684,San Andreas,Significant Ecological Area,SEA Ordinance Applies
685,San Andreas,Significant Ecological Area,SEA Ordinance Applies
686,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
687,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
688,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
689,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
690,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
691,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
692,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
693,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
694,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
695,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
696,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
697,San Dimas Canyon/San Antonio Wash,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
698,San Dimas Canyon/San Antonio Wash,Significant Ecological Area,SEA Ordinance Applies
699,San Dimas Canyon/San Antonio Wash,Significant Ecological Area,SEA Ordinance Applies
700,San Dimas Canyon/San Antonio Wash,Significant Ecological Area,SEA Ordinance Applies
701,San Dimas Canyon/San Antonio Wash,Significant Ecological Area,SEA Ordinance Applies
702,San Gabriel Canyon,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
703,San Gabriel Canyon,Significant Ecological Area,SEA Ordinance Applies
704,San Gabriel Canyon,Significant Ecological Area,SEA Ordinance Applies
705,San Gabriel Canyon,Significant Ecological Area,SEA Ordinance Applies
706,Santa Catalina Island,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
707,Santa Catalina Island,Coastal Resource Area,SEA Ordinance does NOT Apply - Defer to Coastal Commission
708,Santa Catalina Island,Coastal Resource Area,SEA Ordinance does NOT Apply - Defer to Coastal Commission
709,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
710,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
711,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
712,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
713,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
714,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
715,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
716,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
717,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
718,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
719,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
720,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
721,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
722,Santa Felicia,Significant Ecological Area,SEA Ordinance Applies
723,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
724,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
725,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
726,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
727,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
728,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
729,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
730,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
731,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
732,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
733,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
734,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
735,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
